"Horodateur","Nom ","1. Quelle est la puissance électrique totale installée (en kVA) pour votre centre de données ? ","  2. Quel est le nombre de baies (racks) actuellement exploitées et quel est le taux d'occupation moyen ?  ","3. Quelle est la classification de votre centre de données (Tier) ?  ","  4. Quel type de système de refroidissement utilisez-vous principalement ?  ","  5. Quelle est la température de consigne moyenne maintenue dans la salle blanche ?  ","  6. Utilisez-vous des techniques d'urbanisation de salle pour optimiser le flux d'air ?  ","  7. Quel est votre PUE (Power Usage Effectiveness) estimé ?
Note : Le PUE est le ratio entre l'énergie totale consommée et l'énergie consommée par les équipements IT.   ","  8. Quelle est la part approximative du refroidissement dans votre consommation totale d'énergie ?  ","  9. Quelle est votre principale source d'alimentation de secours en cas de coupure Somelec ?  ","10. Disposez-vous d'un système de surveillance (Monitoring) en temps réel pour l'énergie et la température ?"
"2026/03/16 1:10:40 AM UTC+0","Sara","200 - 500 kVA","50 racks/ 70%","Tier II","Eau glacée (Chillers)","22°C - 25°C","Confinement d'allée chaude","1.5 - 2.0 (Moyen)","30-50%","Système hybride (Solaire + Batteries)","oui"
"2026/03/16 1:11:43 AM UTC+0","Iman",">500 kVA","20racks / 60%","Tier III","Détente directe (climatisation de précision)","25°C","Confinement d'allée froide","< 1.5 (Excellent)","< 30%","Système hybride (Solaire + Batteries)","Non"
"2026/03/16 1:16:09 AM UTC+0","Minetou","50 - 200 kVA","20 racks/ 70%","Tier II","Climatisation domestique (Split)","18°C - 21°C","Confinement d'allée froide","2.0 (Inefficace)","30-50%","Système hybride (Solaire + Batteries)","Non"
"2026/03/16 1:16:25 AM UTC+0","Azize","< 50 kVA","10","Tier III","Eau glacée (Chillers)","25°C","Confinement d'allée chaude","1.5 - 2.0 (Moyen)","30-50%","Parc de batteries (UPS/Onduleurs) uniquement","oui"
"2026/03/16 1:18:38 AM UTC+0","Khadija","200 - 500 kVA","20 racks / 10%","Tier I","Détente directe (climatisation de précision)","18°C - 21°C","Aucun confinement spécifique","1.5 - 2.0 (Moyen)","< 30%","Parc de batteries (UPS/Onduleurs) uniquement","oui"
"2026/03/16 1:19:35 AM UTC+0","Mariem","< 50 kVA","20","Tier I","Détente directe (climatisation de précision)","18°C - 21°C","Confinement d'allée froide","< 1.5 (Excellent)","< 30%","Groupe électrogène (Diesel)","oui"
"2026/03/16 1:25:26 AM UTC+0","Sara",">500 kVA","","Tier I","Climatisation domestique (Split)","25°C","Aucun confinement spécifique","2.0 (Inefficace)","> 50%","Système hybride (Solaire + Batteries)","Non"
"2026/03/16 1:27:04 AM UTC+0","Aicha","< 50 kVA","30 racks / 50%","Tier llll","Détente directe (climatisation de précision)","22°C - 25°C","Confinement d'allée chaude","1.5 - 2.0 (Moyen)","< 30%","Groupe électrogène (Diesel)","oui"
"2026/03/16 1:29:29 AM UTC+0","Amine mahfoudh","200 - 500 kVA","","Tier II","Eau glacée (Chillers)","25°C","Confinement d'allée chaude","1.5 - 2.0 (Moyen)","30-50%","Système hybride (Solaire + Batteries)","Non"
"2026/03/16 1:50:53 AM UTC+0","Hafsa","50 - 200 kVA","60 racks / 70%","","Free Cooling (Adapté aux nuits fraîches en Mauritanie)","22°C - 25°C","Confinement d'allée chaude","1.5 - 2.0 (Moyen)","30-50%","Parc de batteries (UPS/Onduleurs) uniquement","oui"
"2026/03/16 1:52:20 AM UTC+0","Khadije","50 - 200 kVA","10 racks / 90%","Tier III","Eau glacée (Chillers)","22°C - 25°C","Confinement d'allée chaude","< 1.5 (Excellent)","> 50%","Système hybride (Solaire + Batteries)","oui"
"2026/03/16 1:53:42 AM UTC+0","Sasa","50 - 200 kVA","Yyy","Tier II","Eau glacée (Chillers)","22°C - 25°C","Confinement d'allée chaude","1.5 - 2.0 (Moyen)","30-50%","Parc de batteries (UPS/Onduleurs) uniquement","Non"
"2026/03/16 1:55:21 AM UTC+0","Nana","< 50 kVA","Hhh","Tier II","Eau glacée (Chillers)","22°C - 25°C","Aucun confinement spécifique","< 1.5 (Excellent)","> 50%","Groupe électrogène (Diesel)","oui"
"2026/03/16 1:56:06 AM UTC+0","Jelal","200 - 500 kVA","Yaya","Tier II","Détente directe (climatisation de précision)","22°C - 25°C","Confinement d'allée froide","2.0 (Inefficace)","30-50%","Système hybride (Solaire + Batteries)","oui"
"2026/03/16 1:56:46 AM UTC+0","Loubi","200 - 500 kVA","Jiji","Tier II","Eau glacée (Chillers)","18°C - 21°C","Aucun confinement spécifique","1.5 - 2.0 (Moyen)","> 50%","Parc de batteries (UPS/Onduleurs) uniquement","oui"
"2026/03/16 2:31:42 AM UTC+0","Narin","50 - 200 kVA","30 racks / 80%","Tier II","Eau glacée (Chillers)","22°C - 25°C","Aucun confinement spécifique","2.0 (Inefficace)","> 50%","Système hybride (Solaire + Batteries)","oui"
"2026/03/16 2:33:07 AM UTC+0","Benine","50 - 200 kVA","80 racks / 40%","Tier III","Free Cooling (Adapté aux nuits fraîches en Mauritanie)","18°C - 21°C","Aucun confinement spécifique","2.0 (Inefficace)","< 30%","Système hybride (Solaire + Batteries)","Non"
"2026/03/16 2:34:00 AM UTC+0","Ahmed","200 - 500 kVA","8 racks / 50%","Tier III","Détente directe (climatisation de précision)","18°C - 21°C","Aucun confinement spécifique","< 1.5 (Excellent)","> 50%","Groupe électrogène (Diesel)","Non"
"2026/03/16 2:35:15 AM UTC+0","Meyouche","200 - 500 kVA","9 racks / 80%","Tier II","Free Cooling (Adapté aux nuits fraîches en Mauritanie)","18°C - 21°C","Aucun confinement spécifique","1.5 - 2.0 (Moyen)","< 30%","Système hybride (Solaire + Batteries)","oui"
"2026/03/16 2:36:07 AM UTC+0","Seyde",">500 kVA","70 racks / 50%","Tier II","Détente directe (climatisation de précision)","25°C","Confinement d'allée chaude","< 1.5 (Excellent)","> 50%","Groupe électrogène (Diesel)","oui"
"2026/03/16 2:36:53 AM UTC+0","Nevisse","200 - 500 kVA","90 racks / 30%","Tier II","Détente directe (climatisation de précision)","18°C - 21°C","Aucun confinement spécifique","2.0 (Inefficace)","30-50%","Système hybride (Solaire + Batteries)","oui"
"2026/03/16 2:37:35 AM UTC+0","Siham","< 50 kVA","30 racks / 50%","Tier III","Eau glacée (Chillers)","25°C","Confinement d'allée froide","1.5 - 2.0 (Moyen)","> 50%","Parc de batteries (UPS/Onduleurs) uniquement","oui"
"2026/03/16 2:38:15 AM UTC+0","Sewdetou","50 - 200 kVA","9 racks / 8%","Tier II","Climatisation domestique (Split)","18°C - 21°C","Confinement d'allée chaude","1.5 - 2.0 (Moyen)","> 50%","Parc de batteries (UPS/Onduleurs) uniquement","oui"
"2026/03/16 2:38:59 AM UTC+0","Neyte","200 - 500 kVA","99 racks / 90%","Tier II","Eau glacée (Chillers)","22°C - 25°C","Confinement d'allée froide","< 1.5 (Excellent)","< 30%","Groupe électrogène (Diesel)","oui"
"2026/03/16 2:39:39 AM UTC+0","Toutou","50 - 200 kVA","31 racks / 67%","Tier II","Eau glacée (Chillers)","18°C - 21°C","Aucun confinement spécifique","1.5 - 2.0 (Moyen)","< 30%","Système hybride (Solaire + Batteries)","oui"
"2026/03/16 2:40:51 AM UTC+0","Hamidou weld sa9ir","200 - 500 kVA","700 racks / 98%","Tier II","Climatisation domestique (Split)","18°C - 21°C","Confinement d'allée froide","2.0 (Inefficace)","> 50%","Parc de batteries (UPS/Onduleurs) uniquement","oui"
"2026/03/16 4:14:31 AM UTC+0","ONS",">500 kVA","10 racks/60%","Tier III","Détente directe (climatisation de précision)","18°C - 21°C","Confinement d'allée froide","1.5 - 2.0 (Moyen)","30-50%","Groupe électrogène (Diesel)","oui"
"2026/03/16 4:15:52 AM UTC+0","EDF","50 - 200 kVA","10 racks/60%","Tier II","Détente directe (climatisation de précision)","18°C - 21°C","Confinement d'allée froide","< 1.5 (Excellent)","> 50%","Groupe électrogène (Diesel)","oui"
"2026/03/16 7:18:45 AM UTC+0","Total","< 50 kVA","50%","Tier I","Eau glacée (Chillers)","18°C - 21°C","Confinement d'allée chaude","< 1.5 (Excellent)","< 30%","Parc de batteries (UPS/Onduleurs) uniquement","Non"
"2026/03/16 7:19:41 AM UTC+0","Engie",">500 kVA","80%","Tier III","Détente directe (climatisation de précision)","18°C - 21°C","Confinement d'allée froide","< 1.5 (Excellent)","> 50%","Système hybride (Solaire + Batteries)","oui"